Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
103380,"Children,Family,Medical",60,3
103381,"Children,Family,Medical",165,3
103382,"Children,Family,Medical",49.5,3
103383,"Children,Family,Medical",300,3
103384,"Children,Family,Medical",99,3
103385,"Children,Family,Medical",150,3
103386,"Children,Family,Medical",165,3
103387,"Children,Family,Medical",60,3
103388,"Children,Family,Medical",150,3
103389,Migrant Workers,55,1
103390,"Children,Family,Medical",150,3
103391,"Children,Family,Medical",45,3
103392,"Children,Family,Medical",150,3
103393,"Children,Family,Medical",165,3
103394,Migrant Workers,100,1
103395,"Children,Family,Medical",150,3
103396,"Children,Family,Medical",165,3
103397,"Children,Family,Medical",375,3
103398,"Children,Family,Medical",150,3
103399,"Children,Family,Medical",150,3
103400,"Children,Family,Medical",150,3
103401,"Children,Family,Medical",9.9,3
103402,"Children,Family,Medical",60,3
103403,"Children,Family,Medical",469.5,6
103404,"Children,Family,Medical",15,3
103405,"Children,Family,Medical",82.11,3
103406,"Children,Family,Medical",150,3
103407,"Children,Family,Medical",300,3
103408,"Children,Family,Medical",300,3
103409,"Children,Family,Medical",15,3
103410,"Children,Family,Medical",165,3
103411,"Children,Family,Medical",16.5,3
103412,"Children,Family,Medical",33,3
103413,"Children,Family,Medical,Single Parents",80.8,12
103414,"Children,Family,Medical,Migrant Workers",52.8,8
103415,"Children,Family,Medical",30,3
103416,"Children,Family,Medical",315,6
103417,"Children,Family,Medical",247.5,3
103418,"Children,Family,Medical",165,3
103419,"Children,Family,Medical",480,9
103420,"Children,Family,Medical",165,3
103421,"Children,Family,Medical",150,3
103422,"Children,Family,Medical",300,3
103423,"Children,Family,Medical",45,3
103424,"Children,Family,Medical",13.2,3
103425,"Children,Family,Medical",66,3
103426,"Children,Family,Medical",60,3
103427,"Children,Family,Medical",165,3
103428,Migrant Workers,55,1
103429,"Children,Family,Medical",300,3
103430,"Children,Family,Medical",465,9
103431,"Children,Family,Medical",150,3
103432,"Children,Family,Medical",648,3
103433,"Children,Family,Medical",66,3
103434,Migrant Workers,20,1
103435,"Children,Family,Medical",300,3
103436,"Children,Family,Medical",165,3
103437,"Children,Family,Medical",210,3
103438,"Children,Family,Medical",33,3
103439,"Children,Family,Medical",90,3
103440,"Children,Family,Medical",90,3
103441,"Children,Family,Medical",165,3
103442,Migrant Workers,22,1
103443,"Children,Family,Medical",300,3
103444,"Children,Family,Medical",66,3
103445,"Children,Family,Medical",6000,3
103446,"Children,Family,Medical",165,3
103447,Single Parents,20,1
103448,"Children,Family,Medical",33,3
103449,"Children,Family,Medical",46.2,3
103450,"Children,Family,Medical",150,3
103451,"Children,Family,Medical",132,3
103452,"Children,Family,Medical",82.5,3
103453,"Children,Family,Medical",60,3
103454,"Children,Family,Medical",150,3
103455,"Children,Family,Medical",330,3
103456,Migrant Workers,216,1
103457,"Children,Family,Medical",150,3
103458,"Children,Family,Medical",9.9,3
103459,"Children,Family,Medical",66,3
103460,"Children,Family,Medical",1299,6
103461,"Children,Family,Medical",1050,3
103462,"Children,Family,Medical",33,3
103463,"Children,Family,Medical",30,3
103464,"Children,Family,Medical",30,3
103465,"Children,Family,Medical",30,3
103466,"Children,Family,Medical",300,3
103467,"Children,Family,Medical",49.5,3
103468,"Children,Family,Medical",165,3
103469,"Children,Family,Medical",150,3
103470,"Children,Family,Medical",13.2,3
103471,"Children,Family,Medical",330,3
103472,"Children,Family,Medical",648,3
103473,"Children,Family,Medical",99,3
103474,"Children,Family,Medical",60,3
103475,"Children,Family,Medical",300,3
103476,"Children,Family,Medical",165,3
103477,"Children,Family,Medical",45,3
103478,"Children,Family,Medical",150,3
103479,"Children,Family,Medical",150,3
103480,"Children,Family,Medical",165,3
103481,"Children,Family,Medical",300,3
103482,"Children,Family,Medical",30,3
103483,"Children,Family,Medical",300,3
103484,"Children,Family,Medical",9,3
103485,"Children,Family,Medical",3.3,3
103486,"Children,Family,Medical",150,3
103487,"Children,Family,Medical",3600,3
103488,"Children,Family,Medical",330,3
103489,"Children,Family,Medical",165,3
103490,"Children,Family,Medical",330,3
103491,"Children,Family,Medical",150,3
103492,"Children,Family,Medical",150,3
103493,"Children,Family,Medical",330,3
103494,"Children,Family,Medical",300,3
103495,"Children,Family,Medical",60,3
103496,"Children,Family,Medical",300,3
103497,"Children,Family,Medical",16.5,3
103498,"Children,Family,Medical",49.5,3
103499,"Children,Family,Medical",115.5,3
103500,"Children,Family,Medical",82.5,3
103501,"Children,Family,Medical",3165,6
103502,"Children,Family,Medical",150,3
103503,"Children,Family,Medical",33,3
103504,"Children,Family,Medical",54,3
103505,"Children,Family,Medical",330,3
103506,"Children,Family,Medical",82.5,3
103507,"Children,Family,Medical",6,3
103508,"Children,Family,Medical",198,6
103509,"Children,Family,Medical",150,3
103510,"Children,Family,Medical",165,3
103511,"Children,Family,Medical",330,3
103512,"Children,Family,Medical",82.5,3
103513,"Children,Family,Medical",66,3
103514,"Children,Family,Medical",150,3
103515,"Children,Family,Medical",150,3
103516,"Children,Family,Medical",90,3
103517,"Children,Family,Medical",300,3
103518,"Children,Family,Medical",150,3
103519,"Children,Family,Medical",330,3
103520,"Children,Family,Medical",165,3
103521,"Children,Family,Medical",330,3
103522,"Children,Family,Medical",150,3
103523,"Children,Family,Medical",900,3
103524,"Children,Family,Medical",165,3
103525,"Children,Family,Medical",165,3
103526,"Children,Family,Medical",457.5,6
103527,"Children,Family,Medical",300,3
103528,"Children,Family,Medical",1920,6
103529,"Children,Family,Medical",1620,3
103530,"Children,Family,Medical",9,3
103531,"Children,Family,Medical",472.5,3
103532,"Children,Family,Medical",186.3,9
103533,"Children,Family,Medical",165,3
103534,"Children,Family,Medical",60,3
103535,"Children,Family,Medical",66,3
103536,"Children,Family,Medical",315,3
103537,"Children,Family,Medical",165,3
103538,"Children,Family,Medical",165,3
103539,"Children,Family,Medical",150,3
103540,"Children,Family,Medical",396,3
103541,"Children,Family,Medical",60,3
103542,"Children,Family,Medical",330,3
103543,"Children,Family,Medical",30,3
103544,"Children,Family,Medical",30,3
103545,"Children,Family,Medical",1650,6
103546,"Children,Family,Medical",1500,3
103547,"Children,Family,Medical",330,3
103548,"Children,Family,Medical",330,3
103549,"Children,Family,Medical",600,6
103550,"Children,Family,Medical",300,3
103551,"Children,Family,Medical",60,3
103552,"Children,Family,Medical",330,3
103553,"Children,Family,Medical",82.5,3
103554,"Children,Family,Medical",33,3
103555,"Children,Family,Medical",150,3
103556,"Children,Family,Medical",66,3
103557,"Children,Family,Medical",150,3
103558,"Children,Family,Medical",30,3
103559,"Children,Family,Medical",148.05,3
103560,"Children,Family,Medical",300,3
103561,"Children,Family,Medical",165,3
103562,"Children,Family,Medical",33,3
103563,"Children,Family,Medical",99,3
103564,"Children,Family,Medical",165,3
103565,"Children,Family,Medical",165,3
103566,Migrant Workers,22,1
103567,"Children,Family,Medical",150,3
103568,"Children,Family,Medical",63,3
103569,"Children,Family,Medical",60,3
103570,"Children,Family,Medical",66,3
103571,"Children,Family,Medical",60,3
103572,"Children,Family,Medical",30,3
103573,"Children,Family,Medical",150,3
103574,Migrant Workers,11,1
103575,"Children,Family,Medical",33,3
103576,"Children,Family,Medical",30,3
103577,"Children,Family,Medical",108,3
103578,"Children,Family,Medical",30,3
103579,"Children,Family,Medical",150,3
103580,"Children,Family,Medical",150,3
103581,"Children,Family,Medical",60,3
103582,Migrant Workers,11,1
103583,"Children,Family,Medical",9,3
103584,"Children,Family,Medical",66,3
103585,"Children,Family,Medical,Migrant Workers",56,8
103586,Migrant Workers,11,1
103587,"Children,Family,Medical",16.5,3
103588,"Children,Family,Medical",9.9,3
103589,"Children,Family,Medical",30,3
103590,"Children,Family,Medical",16.5,3
103591,"Children,Family,Medical",30,3
103592,"Children,Family,Medical",75,3
103593,Migrant Workers,11,1
103594,"Children,Family,Medical",1575,3
103595,"Children,Family,Medical",157.5,3
103596,"Children,Family,Medical",150,3
103597,"Children,Family,Medical",150,3
103598,"Children,Family,Medical,Migrant Workers",4520,12
103599,"Children,Family,Medical",1620,3
103600,"Children,Family,Medical",165,3
103601,"Children,Family,Medical",165,3
103602,"Children,Family,Medical",150,3
103603,"Children,Family,Medical",330,3
103604,"Children,Family,Medical",30,3
103605,"Children,Family,Medical",300,3
103606,Single Parents,50,1
103607,Single Parents,50,1
103608,"Children,Family,Medical",300,3
103609,"Children,Family,Medical",75,3
103610,"Children,Family,Medical",630,3
103611,"Children,Family,Medical",330,3
103612,"Children,Family,Medical",330,3
103613,"Children,Family,Medical",300,3
103614,"Children,Family,Medical",174,3
103615,Single Parents,100,1
103616,"Children,Family,Medical",330,3
103617,"Children,Family,Medical",900,3
103618,"Children,Family,Medical",150,3
103619,"Children,Family,Medical",300,3
103620,"Children,Family,Medical",30,3
103621,"Children,Family,Medical",165,3
103622,"Children,Family,Medical",315,6
103623,"Children,Family,Medical",165,3
103624,Migrant Workers,22,1
103625,"Children,Family,Medical",300,3
103626,Migrant Workers,55,1
103627,"Children,Family,Medical",150,3
103628,"Children,Family,Medical",60,3
103629,"Children,Family,Medical",15,3
103630,"Children,Family,Medical,Migrant Workers",240,8
103631,"Children,Family,Medical",54,3
103632,"Children,Family,Medical",165,3
103633,"Children,Family,Medical",30,3
103634,"Children,Family,Medical",300,3
103635,"Children,Family,Medical",165,3
103636,"Children,Family,Medical",315,3
103637,Migrant Workers,22,1
103638,"Children,Family,Medical",150,3
103639,"Children,Family,Medical",606,6
103640,"Children,Family,Medical",648,3
103641,"Children,Family,Medical",165,3
103642,Migrant Workers,63,1
103643,"Children,Family,Medical",150,3
103644,"Children,Family,Medical",300,3
103645,"Children,Family,Medical",300,3
103646,"Children,Family,Medical",3.3,3
103647,"Children,Family,Medical",165,3
103648,"Children,Family,Medical",75,3
103649,"Children,Family,Medical",3.3,3
103650,"Children,Family,Medical",231,3
103651,"Children,Family,Medical",66,3
103652,"Children,Family,Medical",60,3
103653,"Children,Family,Medical",495,3
103654,"Children,Family,Medical",150,3
103655,"Children,Family,Medical",40.56,3
103656,"Children,Family,Medical",165,3
103657,"Children,Family,Medical",33,3
103658,ADHD,206.8,1
103659,"Children,Family,Medical",150,3
103660,"Children,Family,Medical",66,3
103661,"Children,Family,Medical",300,3
103662,"Children,Family,Medical",495,3
103663,"Children,Family,Medical",49.5,3
103664,"Children,Family,Medical",150,3
103665,"Children,Family,Medical",150,3
103666,"Children,Family,Medical",36,3
103667,"Children,Family,Medical",33,3
103668,"Children,Family,Medical",33,3
103669,"Children,Family,Medical",30,3
103670,"Children,Family,Medical",99,3
103671,"Children,Family,Medical",1980,3
103672,"Children,Family,Medical",3.3,3
103673,"Children,Family,Medical",318,6
103674,"Children,Family,Medical",600,3
103675,"Children,Family,Medical",66,3
103676,"Children,Family,Medical",3.3,3
103677,"Children,Family,Medical",150,3
103678,"Children,Family,Medical",99,3
103679,"Children,Family,Medical",165,3
103680,"Children,Family,Medical",66,3
103681,"Children,Family,Medical",15,3
103682,"Children,Family,Medical",165,3
103683,"Children,Family,Medical",3.3,3
103684,"Children,Family,Medical",330,3
103685,"Children,Family,Medical",150,3
103686,"Children,Family,Medical",330,3
103687,"Children,Family,Medical",99,3
103688,"Children,Family,Medical",66,3
103689,"Children,Family,Medical",45,3
103690,"Children,Family,Medical",165,3
103691,"Children,Family,Medical",630,6
103692,"Children,Family,Medical",330,3
103693,"Children,Family,Medical",150,3
103694,"Children,Family,Medical",165,3
103695,"Children,Family,Medical",150,3
103696,"Children,Family,Medical",150,3
103697,"Children,Family,Medical",30,3
103698,"Children,Family,Medical",600,3
103699,"Children,Family,Medical",648,3
103700,"Children,Family,Medical",972,3
103701,"Children,Family,Medical",1200,6
103702,"Children,Family,Medical",600,3
103703,"Children,Family,Medical",480,9
103704,"Children,Family,Medical",150,3
103705,"Children,Family,Medical",297,3
103706,"Children,Family,Medical",972,3
103707,"Children,Family,Medical",19.8,3
103708,"Children,Family,Medical",300,3
103709,"Children,Family,Medical",30,3
103710,"Children,Family,Medical",165,3
103711,"Children,Family,Medical",150,3
103712,"Children,Family,Medical",60,3
103713,"Children,Family,Medical",150,3
103714,"Children,Family,Medical",810,3
103715,"Children,Family,Medical",165,3
103716,"Children,Family,Medical",165,3
103717,"Children,Family,Medical",49.5,3
103718,"Children,Family,Medical",150,3
103719,"Children,Family,Medical",330,3
103720,"Children,Family,Medical",69.6,6
103721,"Children,Family,Medical",63,3
103722,"Children,Family,Medical",330,3
103723,"Children,Family,Medical",66,3
103724,"Children,Family,Medical",30,3
103725,"Children,Family,Medical",330,3
103726,"Children,Family,Medical",115.5,3
103727,"Children,Family,Medical",16.5,3
103728,"Children,Family,Medical",150,3
103729,"Children,Family,Medical",165,3
103730,"Children,Family,Medical",150,3
103731,"Children,Family,Medical",165,3
103732,"Children,Family,Medical",150,3
103733,"Children,Family,Medical",60,3
103734,"Children,Family,Medical",240,6
103735,"Children,Family,Medical",150,3
103736,"Children,Family,Medical",60,3
103737,"Children,Family,Medical",60,3
103738,"Children,Family,Medical",300,3
103739,"Children,Family,Medical",3240,3
103740,"Children,Family,Medical",165,3
103741,"Children,Family,Medical",9.9,3
103742,"Children,Family,Medical",30,3
103743,"Children,Family,Medical",4.95,3
103744,"Children,Family,Medical",16.5,3
103745,"Children,Family,Medical",330,3
103746,"Children,Family,Medical",19.8,3
103747,"Children,Family,Medical",1500,3
103748,"Children,Family,Medical",150,3
103749,"Children,Family,Medical",3840,6
103750,"Children,Family,Medical",1500,3
103751,"Children,Family,Medical",150,3
103752,"Children,Family,Medical",150,3
103753,"Children,Family,Medical",15,3
103754,"Children,Family,Medical",300,3
103755,"Children,Family,Medical",528,6
103756,"Children,Family,Medical",33,3
103757,"Children,Family,Medical",300,3
103758,"Children,Family,Medical",330,3
103759,"Children,Family,Medical",150,3
103760,"Children,Family,Medical",165,3
103761,"Children,Family,Medical",330,3
103762,"Children,Family,Medical",7387.2,3
103763,"Children,Family,Medical",157.5,3
103764,"Children,Family,Medical",330,6
103765,"Children,Family,Medical",165,3
103766,"Children,Family,Medical",600,3
103767,"Children,Family,Medical",30,3
103768,"Children,Family,Medical",648,3
103769,"Children,Family,Medical",165,3
103770,"Children,Family,Medical",225,3
103771,"Children,Family,Medical",33,3
103772,"Children,Family,Medical",120,3
103773,"Children,Family,Medical",30,3
103774,"Children,Family,Medical",300,3
103775,"Children,Family,Medical",330,6
103776,"Children,Family,Medical",300,3
103777,"Children,Family,Medical",60,3
103778,"Children,Family,Medical",123,3
103779,"Children,Family,Medical",648,3
103780,"Children,Family,Medical",30,3
103781,"Children,Family,Medical",1575,3
103782,"Children,Family,Medical",1500,3
103783,New Start,1.1,1
103784,"Children,Family,Medical",150,3
103785,"Children,Family,Medical",1056,6
103786,"Children,Family,Medical",49.5,3
103787,"Children,Family,Medical",82.5,3
103788,"Children,Family,Medical",6300,3
103789,"Children,Family,Medical",60,3
103790,"Children,Family,Medical",1500,3
103791,"Children,Family,Medical",330,3
103792,"Children,Family,Medical",450,3
103793,"Children,Family,Medical",3.3,3
103794,"Children,Family,Medical",150,3
103795,"Children,Family,Medical",300,3
103796,"Children,Family,Medical",33,3
103797,"Children,Family,Medical",150,3
103798,"Children,Family,Medical",315,3
103799,"Children,Family,Medical",300,3
103800,"Children,Family,Medical",300,3
103801,"Children,Family,Medical",150,3
103802,"Children,Family,Medical",495,3
103803,"Children,Family,Medical",165,3
103804,"Children,Family,Medical",165,3
103805,"Children,Family,Medical",330,3
103806,"Children,Family,Medical",150,3
103807,"Children,Family,Medical",330,3
103808,"Children,Family,Medical",1254,3
103809,"Children,Family,Medical",330,3
103810,"Children,Family,Medical",30,3
103811,"Children,Family,Medical",330,3
103812,"Children,Family,Medical",330,3
103813,"Children,Family,Medical",165,3
103814,"Children,Family,Medical",300,3
103815,"Children,Family,Medical",255,6
103816,"Children,Family,Medical",165,3
103817,"Children,Family,Medical",30,3
103818,"Children,Family,Medical",300,3
103819,"Children,Family,Medical",165,3
103820,"Children,Family,Medical",648,3
103821,"Children,Family,Medical",648,3
103822,"Children,Family,Medical",300,3
103823,"Children,Family,Medical",150,3
103824,"Children,Family,Medical",648,3
103825,"Children,Family,Medical",1620,3
103826,"Children,Family,Medical",465,6
103827,"Children,Family,Medical",330,3
103828,"Children,Family,Medical",300,3
103829,"Children,Family,Medical",150,3
103830,"Children,Family,Medical",165,3
103831,"Children,Family,Medical",60,3
103832,"Children,Family,Medical",450,3
103833,"Children,Family,Medical",150,3
103834,"Children,Family,Medical",60,3
103835,"Children,Family,Medical",166.5,6
103836,"Children,Family,Medical",165,3
103837,"Children,Family,Medical",66,3
103838,"Children,Family,Medical",93,6
103839,"Children,Family,Medical",330,3
103840,"Children,Family,Medical",600,3
103841,"Children,Family,Medical",13.2,3
103842,"Children,Family,Medical",300,3
103843,"Children,Family,Medical",21,3
103844,"Children,Family,Medical",366,6
103845,"Children,Family,Medical",2094,12
103846,"Children,Family,Medical",648,3
103847,"Children,Family,Medical",90,6
103848,"Children,Family,Medical",30,3
103849,"Children,Family,Medical",13.2,3
103850,"Children,Family,Medical",165,3
103851,"Children,Family,Medical",82.5,3
103852,"Children,Family,Medical",150,3
103853,"Children,Family,Medical",495,3
103854,"Children,Family,Medical",150,3
103855,"Children,Family,Medical",3000,3
103856,"Children,Family,Medical",60,3
103857,"Children,Family,Medical",165,3
103858,"Children,Family,Medical",165,3
103859,"Children,Family,Medical",4500,3
103860,"Children,Family,Medical",150,3
103861,"Children,Family,Medical",156,6
103862,"Children,Family,Medical",513,6
103863,"Children,Family,Medical",150,3
103864,"Children,Family,Medical",300,3
103865,"Children,Family,Medical",270,3
103866,"Children,Family,Medical",33,3
103867,"Children,Family,Medical",247.5,3
103868,"Children,Family,Medical",2980.8,3
103869,"Children,Family,Medical",60,3
103870,"Children,Family,Medical",1620,3
103871,"Children,Elderly,Family,Medical,Persons with disabilities",5701.4,15
103872,"Charities,Children",133.6,2
103873,"Children,Family,Medical",165,3
103874,"Children,Family,Medical",157.5,3
103875,"Children,Family,Medical",600,3
103876,"Children,Family,Medical",300,3
103877,"Children,Family,Medical",165,3
103878,"Children,Family,Medical",150,3
103879,"Children,Family,Medical",60,3
103880,"Children,Family,Medical",9.9,6
103881,"Children,Family,Medical",52.8,3
103882,"Children,Family,Medical",66,3
103883,"Children,Family,Medical",36.3,3
103884,"Children,Family,Medical",165,3
103885,"Children,Family,Medical",165,3
103886,"Children,Family,Medical",150,3
103887,"Children,Family,Medical",66,3
103888,"Children,Family,Medical",66,3
103889,"Children,Family,Medical",330,6
103890,"Children,Family,Medical",150,3
103891,"Children,Family,Medical",165,3
103892,"Children,Family,Medical",330,3
103893,"Children,Family,Medical",300,3
103894,"Children,Family,Medical",150,3
103895,"Children,Family,Medical",300,3
103896,"Children,Family,Medical",978,6
103897,"Children,Family,Medical",648,3
103898,"Children,Family,Medical",60,3
103899,"Children,Family,Medical",165,3
103900,"Children,Family,Medical",309,6
103901,"Children,Family,Medical",300,3
103902,"Children,Family,Medical",15,3
103903,"Children,Family,Medical",300,3
103904,"Children,Family,Medical",330,3
103905,"Children,Family,Medical",60,3
103906,"Children,Family,Medical",33,3
103907,"Children,Family,Medical",82.5,3
103908,"Children,Family,Medical",330,3
103909,"Children,Family,Medical",99,3
103910,"Children,Family,Medical",225,9
103911,"Children,Family,Medical",60,3
103912,"Children,Family,Medical",165,3
103913,"Children,Family,Medical",330,3
103914,"Children,Family,Medical",330,3
103915,"Children,Family,Medical",300,3
103916,"Children,Family,Medical",330,3
103917,"Children,Family,Medical",330,3
103918,"Children,Family,Medical",3690,6
103919,"Children,Family,Medical",3000,3
103920,"Children,Family,Medical",150,3
103921,"Children,Family,Medical",150,3
103922,"Children,Family,Medical",165,3
103923,"Children,Family,Medical",648,3
103924,"Children,Family,Medical",3240,3
103925,"Children,Family,Medical",300,3
103926,"Children,Family,Medical",165,3
103927,"Children,Family,Medical",300,3
103928,"Children,Family,Medical",150,3
103929,"Children,Family,Medical",600,3
103930,"Children,Family,Medical",165,3
103931,"Children,Family,Medical",330,3
103932,"Children,Family,Medical",165,3
103933,"Children,Family,Medical",300,3
103934,"Children,Family,Medical",165,3
103935,"Children,Family,Medical",165,3
103936,"Children,Family,Medical",330,3
103937,"Children,Family,Medical",300,3
103938,"Children,Family,Medical",165,3
103939,"Children,Family,Medical",165,3
103940,"Children,Family,Medical",1500,3
103941,"Children,Family,Medical",150,3
103942,"Children,Family,Medical",798,6
103943,"Children,Family,Medical",600,3
103944,"Children,Family,Medical",99,3
103945,"Children,Family,Medical",150,3
103946,"Children,Family,Medical",300,3
103947,"Children,Family,Medical",90,3
103948,"Children,Family,Medical",66,3
103949,"Children,Family,Medical",600,3
103950,"Children,Family,Medical",33,3
103951,"Children,Family,Medical",30,3
103952,"Children,Family,Medical",165,3
103953,"Children,Family,Medical",150,3
103954,"Children,Family,Medical",54,3
103955,"Children,Family,Medical",300,3
103956,"Children,Family,Medical",150,3
103957,"Children,Family,Medical",165,3
103958,"Children,Family,Medical",150,3
103959,"Children,Family,Medical",150,3
103960,"Children,Family,Medical",600,3
103961,"Children,Family,Medical",648,3
103962,"Children,Family,Medical",165,3
103963,"Children,Family,Medical",165,3
103964,"Children,Family,Medical",90,3
103965,"Children,Family,Medical",165,3
103966,"Children,Family,Medical",60,3
103967,"Children,Family,Medical",150,3
103968,"Children,Family,Medical",60,3
103969,"Children,Family,Medical",45,3
103970,"Children,Family,Medical",82.5,3
103971,"Children,Family,Medical",90,3
103972,"Children,Family,Medical",150,3
103973,"Children,Family,Medical",90,3
103974,"Children,Family,Medical",150,3
103975,"Children,Family,Medical",648,3
103976,"Children,Family,Medical",150,3
103977,"Children,Family,Medical",118.8,3
103978,"Children,Family,Medical",300,3
103979,"Children,Family,Medical",165,3
103980,"Children,Family,Medical",300,3
103981,"Children,Family,Medical",165,3
103982,"Children,Family,Medical",150,3
103983,"Children,Family,Medical",450,6
103984,"Children,Family,Medical",150,3
103985,"Children,Family,Medical",210,6
103986,"Children,Family,Medical",150,3
103987,"Children,Family,Medical",165,3
103988,"Children,Family,Medical",165,3
103989,"Children,Family,Medical",648,3
103990,"Children,Family,Medical",13608,15
103991,"Children,Family,Medical",3438,9
103992,"Children,Family,Medical",99,3
103993,"Children,Family,Medical",6.6,3
103994,"Children,Family,Medical",150,3
103995,"Children,Family,Medical",330,3
103996,"Children,Family,Medical",60,3
103997,"Children,Family,Medical",30,3
103998,"Children,Family,Medical",165,3
103999,"Children,Family,Medical",600,6
104000,"Children,Family,Medical",450,3
104001,"Children,Family,Medical",60,3
104002,"Children,Family,Medical",600,3
104003,"Children,Family,Medical",480,3
104004,"Children,Family,Medical",82.5,3
104005,"Children,Family,Medical",300,3
104006,"Children,Family,Medical",600,3
104007,"Children,Family,Medical",75,3
104008,"Children,Family,Medical",1620,3
104009,"Children,Family,Medical",450,6
104010,"Children,Family,Medical",66,3
104011,"Children,Family,Medical",240,6
104012,"Children,Family,Medical",90,3
104013,"Children,Family,Medical",75,3
104014,"Children,Family,Medical",15,3
104015,"Children,Family,Medical",330,3
104016,"Children,Family,Medical",330,3
104017,"Children,Family,Medical",150,3
104018,"Children,Family,Medical",75,3
104019,"Children,Family,Medical",648,3
104020,"Children,Family,Medical",165,3
104021,"Children,Family,Medical",264,3
104022,"Children,Family,Medical",99,3
104023,"Children,Family,Medical",540,6
104024,"Children,Family,Medical",150,3
104025,"Children,Family,Medical",300,3
104026,"Children,Family,Medical",1050,12
104027,"Children,Family,Medical",300,3
104028,"Children,Family,Medical",330,3
104029,"Children,Family,Medical",150,3
104030,"Children,Family,Medical",660,6
104031,"Children,Family,Medical",600,6
104032,"Children,Family,Medical",300,3
104033,"Children,Family,Medical",66,3
104034,"Children,Family,Medical",900,3
104035,"Children,Family,Medical",165,3
104036,"Children,Family,Medical",150,3
104037,"Children,Family,Medical",165,3
104038,"Children,Family,Medical",630,6
104039,"Children,Family,Medical",300,3
104040,"Children,Family,Medical",360,6
104041,"Children,Family,Medical",330,3
104042,"Children,Family,Medical",972,3
104043,"Children,Family,Medical",30,3
104044,"Children,Family,Medical",300,3
104045,"Children,Family,Medical",300,3
104046,"Children,Family,Medical",330,3
104047,"Children,Family,Medical",300,3
104048,"Children,Family,Medical",30,3
104049,"Children,Family,Medical",150,3
104050,"Children,Family,Medical",165,3
104051,"Children,Family,Medical",300,3
104052,"Children,Family,Medical",60,3
104053,"Children,Family,Medical",150,3
104054,"Children,Family,Medical",3.15,3
104055,"Children,Family,Medical",49.5,3
104056,"Children,Family,Medical",300,3
104057,"Children,Family,Medical",165,3
104058,"Children,Family,Medical",66,3
104059,"Children,Family,Medical",82.5,6
104060,"Children,Family,Medical",60,3
104061,"Children,Family,Medical",165,3
104062,"Children,Family,Medical",600,3
104063,"Children,Family,Medical",150,3
104064,"Children,Family,Medical",330,3
104065,"Children,Family,Medical",54,3
104066,"Children,Family,Medical",150,3
104067,"Children,Family,Medical",315,3
104068,"Children,Family,Medical",165,3
104069,"Children,Family,Medical",33,3
104070,"Children,Family,Medical",66,3
104071,"Children,Family,Medical",600,3
104072,"Children,Family,Medical",66,3
104073,"Children,Family,Medical",99,6
104074,"Children,Family,Medical",66,3
104075,"Children,Family,Medical",333,6
104076,"Children,Family,Medical",30,3
104077,"Children,Family,Medical",150,3
104078,"Children,Family,Medical",33,3
104079,"Children,Family,Medical",165,3
104080,"Children,Family,Medical",330,3
104081,"Children,Family,Medical",33,3
104082,"Children,Family,Medical",150,3
104083,"Children,Family,Medical",648,3
104084,"Children,Family,Medical",30,3
104085,"Children,Family,Medical",648,3
104086,"Children,Family,Medical",678,6
104087,"Children,Family,Medical",648,3
104088,"Children,Family,Medical",630,6
104089,"Children,Family,Medical",330,3
104090,"Children,Family,Medical",648,3
104091,"Children,Family,Medical",300,3
104092,"Children,Family,Medical",66,3
104093,"Children,Family,Medical",30,3
104094,"Children,Family,Medical",1620,3
104095,"Children,Family,Medical",315,3
104096,"Children,Family,Medical",90,3
104097,"Children,Family,Medical",225,3
104098,"Children,Family,Medical",33,3
104099,"Children,Family,Medical",16.65,3
104100,"Children,Family,Medical",33,3
104101,"Children,Family,Medical",66,3
104102,"Children,Family,Medical",16.5,3
104103,"Children,Family,Medical",165,3
104104,"Children,Family,Medical",30,3
104105,"Children,Family,Medical",330,3
104106,"Children,Family,Medical",165,3
104107,"Children,Family,Medical",330,6
104108,"Children,Family,Medical",150,3
104109,"Children,Family,Medical",165,3
104110,"Children,Family,Medical",165,3
104111,"Children,Family,Medical",330,3
104112,"Children,Family,Medical",150,3
104113,"Children,Family,Medical",33,3
104114,"Children,Family,Medical",33,3
104115,"Children,Family,Medical",300,3
104116,"Children,Family,Medical",165,3
104117,"Children,Family,Medical",1500,3
104118,"Children,Family,Medical",150,3
104119,"Children,Family,Medical",150,3
104120,"Children,Family,Medical",30,3
104121,"Children,Family,Medical",66,3
104122,"Children,Family,Medical",49.5,3
104123,"Children,Family,Medical",166.5,6
104124,"Children,Family,Medical",15,3
104125,"Children,Family,Medical",150,3
104126,"Children,Family,Medical",150,3
104127,"Children,Family,Medical",165,3
104128,"Children,Family,Medical",33,3
104129,"Children,Family,Medical",6.6,3
104130,"Children,Family,Medical",150,3
104131,"Children,Family,Medical",300,3
104132,"Children,Family,Medical",330,3
104133,"Children,Family,Medical",33,3
104134,"Children,Family,Medical",330,3
104135,"Children,Family,Medical",150,3
104136,"Children,Family,Medical",1050,6
104137,"Children,Family,Medical",150,3
104138,"Children,Family,Medical",150,3
104139,"Children,Family,Medical",150,3
104140,"Children,Family,Medical",15,3
104141,"Children,Family,Medical",165,3
104142,"Children,Family,Medical",66,3
104143,"Children,Family,Medical",150,3
104144,"Children,Family,Medical",150,3
104145,"Children,Family,Medical",165,3
